### THIS CSV IS INTENDED TO BE USED AT WIRECRACKER.COM FOR COORDINATES ###
### THESE TWO LINES SERVES AS IDENTIFIER. DO NOT DELETE ###
Electrode,Contact,x,y,z,isgrey,iswhite,brain_area
TB,1,25.9723948969781,-7.97054015597438,-42.0369649772979,1,1,MedialInferiorTemporalCortex
TB,2,29.4435192422305,-7.80347717793901,-41.9077525517459,1,1,MedialInferiorTemporalCortex
TB,3,32.8453526562623,-7.75097495201419,-41.9385596611303,1,1,MedialInferiorTemporalCortex
TB,4,36.1357433659426,-7.55502095084976,-41.8421027651543,1,1,WhiteMatter
TB,5,39.6186069673592,-7.35883756951844,-41.6231884408474,1,1,WhiteMatter
TB,6,43.0777878644368,-7.17312732319016,-41.5375611307123,1,1,MedialInferiorTemporalCortex
TB,7,46.3461652759321,-7.17016407104309,-41.3889039911696,1,1,RostralInferiorTemporalCortex
TB,8,49.9956837261842,-6.84852546464364,-41.2873982534262,1,1,WhiteMatter
TB,9,53.6056159838015,-6.6801887883422,-41.2093753926732,2,2,WhiteMatter
TB,10,57.1997988368742,-6.41635098705528,-40.9361479394522,1,1,RostralInferiorTemporalCortex
TB,11,60.679942750142,-6.4344936535676,-40.7984790588645,1,1,RostralMiddleTemporalCortex
TB,12,64.1510670953944,-6.26743067553221,-40.6692666333125,3,3,RostralMiddleTemporalCortex
TB,13,67.6221914406468,-6.10036769749684,-40.5400542077605,3,3,WhiteMatter
TB',1,-26.3513870014641,-11.4747912461004,-39.2227681094018,1,1,Hippocampus
TB',2,-29.8104011595262,-11.8138863670628,-39.3391536988895,1,1,WhiteMatter
TB',3,-33.125841586012,-12.0350892698417,-39.4520868603557,1,1,RostralInferiorTemporalCortex
TB',4,-36.6000654163322,-12.3341095865221,-39.5412024839798,1,1,WhiteMatter
TB',5,-40.1779550906907,-12.882348719182,-39.583431082091,1,1,RostralInferiorTemporalCortex
TB',6,-43.5920685244546,-13.2016322754355,-39.7505953752008,2,2,WhiteMatter
TB',7,-47.2888208220085,-13.489477310156,-39.8846395936561,1,1,WhiteMatter
TB',8,-50.925323231683,-13.9187358489324,-40.0399470179509,1,1,RostralMiddleTemporalCortex
TB',9,-54.3617304088858,-14.0766496818961,-40.171555310131,1,1,RostralMiddleTemporalCortex
TB',10,-57.8207445669481,-14.4157448028596,-40.2879408996187,1,1,RostralMiddleTemporalCortex
TB',11,-61.2797587250106,-14.7548399238231,-40.4043264891065,3,3,WhiteMatter
TP',1,-20.3594433150654,9.25308561433622,-35.591790429817,3,3,WhiteMatter
TP',2,-23.8203210589903,8.93409711898271,-35.7096108012184,1,1,RostralMiddleTemporalCortex
TP',3,-27.2384163025656,8.79685717688292,-35.7848166187589,1,1,RostralSuperiorTemporalCortex
TP',4,-30.9371618406644,8.52687681888582,-35.8393172859462,1,1,RostralSuperiorTemporalCortex
TP',5,-34.6883337413202,8.21553250147221,-35.9746268552776,1,1,RostralSuperiorTemporalCortex
TP',6,-38.1822453534486,7.97533301243999,-36.0001406366437,2,2,WhiteMatter
TP',7,-41.3784749810877,7.73751212750372,-36.2430788613871,2,2,WhiteMatter
TP',8,-44.8487709782642,7.3877274577359,-36.301831468944,2,2,WhiteMatter
TP',9,-48.3786239483047,7.18432428784502,-36.5412972224502,1,1,RostralSuperiorTemporalCortex
TP',10,-52.0573808378977,6.83255150515302,-36.688898027897,3,3,WhiteMatter
TP',11,-55.1523543757643,6.12854355588566,-36.7321261371927,3,3,WhiteMatter
TP',12,-58.2473279136309,5.42453560661929,-36.7753542464885,3,3,WhiteMatter
A',1,-16.6267809255516,-1.67244663016625,-28.5714184381903,1,1,Amygdala
A',2,-20.0799969242353,-2.03872851584513,-28.7570172737232,1,1,Amygdala
A',3,-23.535568228913,-2.27088407356116,-28.9915169995843,1,1,Amygdala
A',4,-27.0993037401282,-2.81231864772089,-29.1398902710574,1,1,Amygdala
A',5,-30.4787065602751,-2.98941184525855,-29.3051765343927,1,1,Amygdala
A',6,-33.8394814174307,-3.42797902854686,-29.5649692922221,2,2,WhiteMatter
A',7,-37.1044758171608,-3.74661976704254,-29.7363477230315,2,2,WhiteMatter
A',8,-40.564473614339,-4.23818245619382,-29.8557929683617,2,2,WhiteMatter
A',9,-44.1151043246028,-4.6151971392268,-30.0498170280348,1,1,RostralSuperiorTemporalCortex
A',10,-47.7430620646932,-4.97636246492681,-30.3319743730459,1,1,RostralSuperiorTemporalCortex
A',11,-51.1249272006625,-5.3778257812441,-30.4107393332526,1,1,RostralMiddleTemporalCortex
A',12,-54.5534183491341,-5.58293610661654,-30.5580373052727,1,1,WhiteMatter
A',13,-58.2451700154277,-5.95027702693116,-30.8824937976423,1,1,RostralMiddleTemporalCortex
A',14,-61.6983860141111,-6.31655891260994,-31.0680926331753,3,3,WhiteMatter
A',15,-65.1516020127945,-6.68284079828878,-31.2536914687082,3,3,WhiteMatter
OR',1,-17.5861124746012,28.0761641783448,-22.9219748158785,1,1,VentralOrbitoFrontalCortex
OR',2,-19.0106202207003,28.7525298358108,-19.7973458134818,1,1,VentralOrbitoFrontalCortex
OR',3,-20.4351279668004,29.4288954932767,-16.672716811085,1,1,VentralOrbitoFrontalCortex
OR',4,-21.8596357128996,30.1052611507427,-13.5480878086881,1,1,VentralOrbitoFrontalCortex
OR',5,-23.2841434589987,30.7816268082087,-10.4234588062914,2,2,WhiteMatter
OR',6,-26.9471633775402,32.5208527845498,-2.38869851441433,2,2,WhiteMatter
OR',7,-28.3716711236393,33.1972184420158,0.735930487982736,2,2,WhiteMatter
OR',8,-29.7961788697395,33.8735840994816,3.86055949037977,2,2,WhiteMatter
OR',9,-31.2206866158386,34.5499497569476,6.98518849277683,2,2,WhiteMatter
OR',10,-32.6451943619379,35.2263154144147,10.1098174951731,2,2,WhiteMatter
OR',11,-36.3082142804794,36.9655413907558,18.1445777870503,2,2,WhiteMatter
OR',12,-37.7327220265795,37.6419070482216,21.2692067894474,2,2,RostralDorsolateralInferiorPrefrontalCortex
OR',13,-39.1572297726786,38.3182727056875,24.3938357918444,1,1,RostralDorsolateralInferiorPrefrontalCortex
OR',14,-40.5817375187781,38.9946383631535,27.5184647942415,3,3,WhiteMatter
B,1,34.1463355587811,-19.9125566436365,-29.5345398000846,1,1,Hippocampus
B,2,37.6160378722968,-19.7135529430368,-29.4125829278764,1,1,Hippocampus
B,3,41.0977565244279,-19.4981019268425,-29.2862434894683,1,1,Hippocampus
B,4,44.5010098477647,-19.369384018482,-29.2173622500204,2,2,WhiteMatter
B,5,48.0120235507253,-19.0852665543524,-29.1016643742312,2,2,WhiteMatter
B,6,51.5577479877766,-18.848751525038,-29.0212655296815,2,2,WhiteMatter
B,7,55.0799639515286,-18.6020857721293,-28.8830498371871,2,2,WhiteMatter
B,8,58.5732994783269,-18.5742685102177,-28.7999399600762,1,1,WhiteMatter
B,9,62.1079658665982,-18.3998600318915,-28.5687581766304,1,1,CaudalMiddleTemporalCortex
B,10,65.435323518091,-18.1669687407727,-28.4276377070619,1,1,CaudalMiddleTemporalCortex
B,11,68.7074722111891,-17.8293382767849,-28.3160903869918,1,1,CaudalMiddleTemporalCortex
B,12,72.1771745247048,-17.6303345761852,-28.1941335147836,1,1,CaudalMiddleTemporalCortex
B,13,75.6468768382205,-17.4313308755854,-28.0721766425754,3,3,CaudalMiddleTemporalCortex
B',1,-25.4649477802767,-22.805763112761,-24.9076395639745,1,1,Hippocampus
B',2,-28.9289082155483,-23.0043330227486,-25.1418579446069,1,1,Hippocampus
B',3,-32.4815569926121,-23.1030774098077,-25.5010006133499,1,1,MedialInferiorTemporalCortex
B',4,-35.7604333994646,-23.2250401223177,-25.7356966227105,3,3,WhiteMatter
B',5,-39.4808206864017,-23.4920708339716,-25.9805447179857,2,2,WhiteMatter
B',6,-42.823664863166,-23.7234506399882,-26.2137881687221,2,2,WhiteMatter
B',7,-46.3559841765617,-23.9514591175653,-26.5023667271086,2,2,WhiteMatter
B',8,-49.8969608929276,-24.0946802714211,-26.6925063277599,2,2,WhiteMatter
B',9,-53.2602830952931,-24.2736173462096,-26.9395721329285,2,2,WhiteMatter
B',10,-56.574268947563,-24.418034718422,-27.0980621775514,2,2,WhiteMatter
B',11,-59.979719055608,-24.7126504764755,-27.2439874523732,1,1,WhiteMatter
B',12,-63.4809891521771,-24.9688002161323,-27.5851174837626,1,1,RostralMiddleTemporalCortex
B',13,-66.9449495874492,-25.1673701261201,-27.8193358643951,3,3,WhiteMatter
B',14,-70.4089100227212,-25.3659400361078,-28.0535542450275,3,3,WhiteMatter
GPH',1,-23.5282010778487,-32.4689894387254,-23.0843858586935,1,1,Hippocampus
GPH',2,-26.9996912960844,-32.6213753318578,-23.2216604846847,1,1,Hippocampus
GPH',3,-30.6653902918532,-32.6838178822872,-23.3124031106525,1,1,Hippocampus
GPH',4,-34.0747606085259,-32.8562763235553,-23.4455157465678,1,1,Hippocampus
GPH',5,-37.5477181009694,-32.9961543569561,-23.5564684409237,1,1,WhiteMatter
GPH',6,-41.0419483057096,-33.2352141919803,-23.5813236934853,2,2,WhiteMatter
GPH',7,-44.6625291850499,-33.311214119841,-23.7343941324007,2,2,WhiteMatter
GPH',8,-48.2475550736834,-33.4420843617593,-23.9128208486283,2,2,WhiteMatter
GPH',9,-51.8692922802537,-33.5691739343133,-24.1273090229795,2,2,WhiteMatter
GPH',10,-55.2585679650398,-33.8343361803931,-24.2079333278304,2,2,WhiteMatter
GPH',11,-58.7339089668814,-34.0196942071827,-24.4465560846979,2,2,WhiteMatter
GPH',12,-62.0263832496722,-34.0925529603713,-24.6225039912572,2,2,CaudalMiddleTemporalCortex
GPH',13,-65.4978734679078,-34.2449388535031,-24.7597786172484,1,1,CaudalMiddleTemporalCortex
GPH',14,-68.9693636861431,-34.3973247466358,-24.8970532432396,3,3,WhiteMatter
GPH',15,-72.4408539043784,-34.5497106397685,-25.0343278692308,3,3,WhiteMatter
I',1,-36.1167909355798,6.62194386286808,-16.494061515324,1,1,InsularCortex
I',2,-35.8574084008902,7.3802357611816,-13.0870519469762,1,1,InsularCortex
I',3,-35.5980258662002,8.13852765949416,-9.68004237862877,1,1,InsularCortex
I',4,-35.3386433315104,8.8968195578076,-6.27303281028067,1,1,InsularCortex
I',5,-35.0792607968206,9.65511145612011,-2.86602324193268,3,3,WhiteMatter
I',6,-34.1158399536867,12.4716242212832,9.7885837262158,2,2,WhiteMatter
