### THIS CSV IS INTENDED TO BE USED AT WIRECRACKER.COM FOR DESIGNATION ###
### THESE TWO LINES SERVES AS IDENTIFIER. DO NOT DELETE ###
Label,ContactNumber,ElectrodeDescription,ContactDescription,AssociatedLocation,Mark,SurgeonMark
D',1,Left Entorhinal,Left Entorhinal,GM,1,0
D',2,Left Entorhinal,Left Entorhinal,GM,2,0
D',3,Left Entorhinal,Left Entorhinal,GM,2,0
D',4,Left Entorhinal,,WM,2,0
D',5,Left Entorhinal,,WM,1,0
D',6,Left Entorhinal,,WM,1,0
D',7,Left Entorhinal,Left MFG,GM,3,0
D',8,Left Entorhinal,Left MFG,GM,0,0
D',9,Left Entorhinal,Left MFG,GM,0,0
D',10,Left Entorhinal,Left MFG,GM,0,0
D',11,Left Entorhinal,Left MFG,GM,0,0
U',1,Left Anterior Hippocampus,L SMG,GM/WM,1,0
U',2,Left Anterior Hippocampus,L SMG,GM/WM,1,0
U',3,Left Anterior Hippocampus,,WM,0,0
U',4,Left Anterior Hippocampus,,WM,0,0
U',5,Left Anterior Hippocampus,,WM,0,0
U',6,Left Anterior Hippocampus,L SMG+L Hippocampus,GM/GM,0,0
U',7,Left Anterior Hippocampus,L SMG+L Hippocampus,GM/GM,0,0
U',8,Left Anterior Hippocampus,,OOB,0,0
A',1,Left MFG,Left MFG,GM,1,0
A',2,Left MFG,Left MFG,GM,1,0
A',3,Left MFG,Left MFG,GM/WM,0,0
A',4,Left MFG,Left MFG,WM,0,0
A',5,Left MFG,Left MFG,WM,0,0
A',6,Left MFG,Left MFG,OOB,0,0
B',1,Left Amygdala,Left Amygdala,GM,0,0
B',2,Left Amygdala,Left Amygdala,GM,1,0
B',3,Left Amygdala,Left Amygdala,GM/WM,1,0
B',4,Left Amygdala,Left Amygdala,WM,1,0
B',5,Left Amygdala,Left Amygdala,WM,0,0
B',6,Left Amygdala,Left Amygdala,OOB,0,0
B',7,Left Amygdala,Left Amygdala,OOB,0,0
B',8,Left Amygdala,Left Amygdala,OOB,0,0
